SBD 1 - Peterson/Schriever,,,,,,,Garrison,Field Command,Delta,DRRS Reporting Unit,Reporting Unit,Location,Installation MET Type,Garrison Sort,Reporting Unit Sort
SPOC,SBD 1,0001 SPACE BASE DE 0000,SBD 1,Peterson Space Force Base,,,SBD 1 - Peterson/Schriever,SPOC,SBD 1,0001 SPACE BASE DE 0000,SBD 1,Peterson Space Force Base,Provide,1,1
S4S,Delta 15,0015 SPACE DE 0000,Delta 15,Schriever Space Force Base,,,SBD 1 - Peterson/Schriever,S4S,Delta 15,0015 SPACE DE 0000,Delta 15,Schriever Space Force Base,Receive,1,2
SPOC,Delta 9,0001 SPACE OPNS SQ 0000,1 SOPS,Schriever Space Force Base,,,SBD 1 - Peterson/Schriever,SPOC,Delta 9,0001 SPACE OPNS SQ 0000,1 SOPS,Schriever Space Force Base,Receive,1,3
SpOC,Delta 31 ,0002 SPACE OPNS SQ 0000,2 NWS,Schriever Space Force Base,,,SBD 1 - Peterson/Schriever,SpOC,Delta 31 ,0002 SPACE OPNS SQ 0000,2 NWS,Schriever Space Force Base,Receive,1,4
SPOC,Delta 9,0003 SPACE OPNS SQ 0000,3 SOPS,Schriever Space Force Base,,,SBD 1 - Peterson/Schriever,SPOC,Delta 9,0003 SPACE OPNS SQ 0000,3 SOPS,Schriever Space Force Base,Receive,1,5
SPOC,Delta 3,0004 ELECTROMAG WARFARE SQ 0000,4 EWS,Peterson Space Force Base,,,SBD 1 - Peterson/Schriever,SPOC,Delta 3,0004 ELECTROMAG WARFARE SQ 0000,4 EWS,Peterson Space Force Base,Receive,1,6
SPOC,Delta 8,0004 SPACE OPNS SQ 0000,4 SOPS,Schriever Space Force Base,,,SBD 1 - Peterson/Schriever,SPOC,Delta 8,0004 SPACE OPNS SQ 0000,4 SOPS,Schriever Space Force Base,Receive,1,7
SPOC,Delta 3,0005 ELECTROMAG WARFARE SQ 0000,5 EWS,Peterson Space Force Base,,,SBD 1 - Peterson/Schriever,SPOC,Delta 3,0005 ELECTROMAG WARFARE SQ 0000,5 EWS,Peterson Space Force Base,Receive,1,8
SPOC,Delta 3,0016 ELECTROMAG WARFARE SQ 0000,16 EWS,Peterson Space Force Base,,,SBD 1 - Peterson/Schriever,SPOC,Delta 3,0016 ELECTROMAG WARFARE SQ 0000,16 EWS,Peterson Space Force Base,Receive,1,9
SPOC,Delta 6,0022 SPACE OPNS SQ 0000,22 SOPS,Schriever Space Force Base,,,SBD 1 - Peterson/Schriever,SPOC,Delta 6,0022 SPACE OPNS SQ 0000,22 SOPS,Schriever Space Force Base,Receive,1,10
SPOC,Delta 6,0022 SPACE OPNS SQ 0001,"22 SOPS, Det 1",Peterson Space Force Base,,,SBD 1 - Peterson/Schriever,SPOC,Delta 6,0022 SPACE OPNS SQ 0001,"22 SOPS, Det 1",Peterson Space Force Base,Receive,1,11
SPOC,Delta 3,0037 TACTICAL INTEL SQ  0000,37 TIS,Peterson Space Force Base,,,SBD 1 - Peterson/Schriever,SPOC,Delta 3,0037 TACTICAL INTEL SQ  0000,37 TIS,Peterson Space Force Base,Receive,1,12
SPOC,Delta 8,0053 SPACE OPNS SQ 0000,53 SOPS,Schriever Space Force Base,,,SBD 1 - Peterson/Schriever,SPOC,Delta 8,0053 SPACE OPNS SQ 0000,53 SOPS,Schriever Space Force Base,Receive,1,13
SPOC,Delta 6,0062 CYBERSPACE SQ 0000,62 CYS,Peterson Space Force Base,,,SBD 1 - Peterson/Schriever,SPOC,Delta 6,0062 CYBERSPACE SQ 0000,62 CYS,Peterson Space Force Base,Receive,1,14
SPOC,Delta 6,0068 CYBERSPACE SQ 0000,68 CYS,Schriever Space Force Base,,,SBD 1 - Peterson/Schriever,SPOC,Delta 6,0068 CYBERSPACE SQ 0000,68 CYS,Schriever Space Force Base,Receive,1,15
SPOC,Delta 6,0069 CYBERSPACE SQ 0000,69 CYS,Schriever Space Force Base,,,SBD 1 - Peterson/Schriever,SPOC,Delta 6,0069 CYBERSPACE SQ 0000,69 CYS,Schriever Space Force Base,Receive,1,16
SPOC,Delta 7,0071 INTL/SURVEIL/RECON SQ 0000,71 ISRS,Peterson Space Force Base,,,SBD 1 - Peterson/Schriever,SPOC,Delta 7,0071 INTL/SURVEIL/RECON SQ 0000,71 ISRS,Peterson Space Force Base,Receive,1,17
